,ENA,WNA,NEO,EUR,CASIA,EASIA
Ambystoma_andersoni,0,0,1,0,0,0
Ambystoma_barbouri,1,0,0,0,0,0
Ambystoma_californiense,0,1,0,0,0,0
Ambystoma_cingulatum,1,0,0,0,0,0
Ambystoma_dumerilii,0,0,1,0,0,0
Ambystoma_gracile,0,1,0,0,0,0
Ambystoma_jeffersonianum,1,0,0,0,0,0
Ambystoma_laterale,1,0,0,0,0,0
Ambystoma_mabeei,1,0,0,0,0,0
Ambystoma_macrodactylum,0,1,0,0,0,0
Ambystoma_maculatum,1,0,0,0,0,0
Ambystoma_mexicanum,0,0,1,0,0,0
Ambystoma_opacum,1,0,0,0,0,0
Ambystoma_ordinarium,0,0,1,0,0,0
Ambystoma_talpoideum,1,0,0,0,0,0
Ambystoma_texanum,1,0,0,0,0,0
Ambystoma_tigrinum,1,1,0,0,0,0
Amphiuma_means,1,0,0,0,0,0
Amphiuma_tridactylum,1,0,0,0,0,0
Andrias_davidianus,0,0,0,0,0,1
Andrias_japonicus,0,0,0,0,0,1
Aneides_aeneus,1,0,0,0,0,0
Aneides_ferreus,0,1,0,0,0,0
Aneides_flavipunctatus,0,1,0,0,0,0
Aneides_hardii,1,0,0,0,0,0
Aneides_lugubris,0,1,0,0,0,0
Batrachoseps_attenuatus,0,1,0,0,0,0
Batrachoseps_major,0,1,0,0,0,0
Batrachoseps_wrighti,0,1,0,0,0,0
Batrachuperus_pinchonii,0,0,0,0,0,1
Batrachuperus_tibetanus,0,0,0,0,0,1
Bolitoglossa_adspersa,0,0,1,0,0,0
Bolitoglossa_altamazonica,0,0,1,0,0,0
Bolitoglossa_alvaradoi,0,0,1,0,0,0
Bolitoglossa_cerroensis,0,0,1,0,0,0
Bolitoglossa_compacta,0,0,1,0,0,0
Bolitoglossa_cuchumatana,0,0,1,0,0,0
Bolitoglossa_decora,0,0,1,0,0,0
Bolitoglossa_dofleini,0,0,1,0,0,0
Bolitoglossa_engelhardti,0,0,1,0,0,0
Bolitoglossa_epimela,0,0,1,0,0,0
Bolitoglossa_equatoriana,0,0,1,0,0,0
Bolitoglossa_flaviventris,0,0,1,0,0,0
Bolitoglossa_franklini,0,0,1,0,0,0
Bolitoglossa_hartwegi,0,0,1,0,0,0
Bolitoglossa_heiroreias,0,0,1,0,0,0
Bolitoglossa_helmrichi,0,0,1,0,0,0
Bolitoglossa_lignicolor,0,0,1,0,0,0
Bolitoglossa_lincolni,0,0,1,0,0,0
Bolitoglossa_mexicana,0,0,1,0,0,0
Bolitoglossa_minutula,0,0,1,0,0,0
Bolitoglossa_morio,0,0,1,0,0,0
Bolitoglossa_occidentalis,0,0,1,0,0,0
Bolitoglossa_odonnelli,0,0,1,0,0,0
Bolitoglossa_peruviana,0,0,1,0,0,0
Bolitoglossa_platydactyla,0,0,1,0,0,0
Bolitoglossa_rostrata,0,0,1,0,0,0
Bolitoglossa_rufescens,0,0,1,0,0,0
Bolitoglossa_schizodactyla,0,0,1,0,0,0
Bolitoglossa_sooyorum,0,0,1,0,0,0
Bolitoglossa_subpalmata,0,0,1,0,0,0
Bolitoglossa_tica,0,0,1,0,0,0
Bolitoglossa_yucatana,0,0,1,0,0,0
Chioglossa_lusitanica,0,0,0,1,0,0
Chiropterotriton_arboreus,0,0,1,0,0,0
Chiropterotriton_chondrostega,0,0,1,0,0,0
Chiropterotriton_cracens,0,0,1,0,0,0
Chiropterotriton_dimidiatus,0,0,1,0,0,0
Chiropterotriton_lavae,0,0,1,0,0,0
Chiropterotriton_magnipes,0,0,1,0,0,0
Chiropterotriton_multidentatus,0,0,1,0,0,0
Chiropterotriton_orculus,0,0,1,0,0,0
Chiropterotriton_priscus,0,0,1,0,0,0
Chiropterotriton_terrestris,0,0,1,0,0,0
Cryptobranchus_alleganiensis,1,0,0,0,0,0
Cynops_cyanurus,0,0,0,0,0,1
Cynops_ensicauda,0,0,0,0,0,1
Cynops_pyrrhogaster,0,0,0,0,0,1
Dendrotriton_bromeliacius,0,0,1,0,0,0
Desmognathus_aeneus,1,0,0,0,0,0
Desmognathus_apalachicolae,1,0,0,0,0,0
Desmognathus_auriculatus,1,0,0,0,0,0
Desmognathus_brimleyorum,1,0,0,0,0,0
Desmognathus_fuscus,1,0,0,0,0,0
Desmognathus_imitator,1,0,0,0,0,0
Desmognathus_marmoratus,1,0,0,0,0,0
Desmognathus_monticola,1,0,0,0,0,0
Desmognathus_ochrophaeus,1,0,0,0,0,0
Desmognathus_quadramaculatus,1,0,0,0,0,0
Desmognathus_santeetlah,1,0,0,0,0,0
Desmognathus_welteri,1,0,0,0,0,0
Desmognathus_wrighti,1,0,0,0,0,0
Dicamptodon_copei,0,1,0,0,0,0
Dicamptodon_ensatus,0,1,0,0,0,0
Echinotriton_andersoni,0,0,0,0,0,1
Ensatina_eschscholtzii,0,1,0,0,0,0
Euproctus_asper,1,0,0,0,0,0
Euprotucs_platycephalus,1,0,0,0,0,0
Eurycea_bislineata,1,0,0,0,0,0
Eurycea_junaluska,1,0,0,0,0,0
Eurycea_lucifuga,1,0,0,0,0,0
Eurycea_multiplicata,1,0,0,0,0,0
Eurycea_nana,1,0,0,0,0,0
Eurycea_neotenes,1,0,0,0,0,0
Eurycea_quadridigitata,1,0,0,0,0,0
Eurycea_rathbuni,1,0,0,0,0,0
Eurycea_spelaea,1,0,0,0,0,0
Eurycea_tynerensis,1,0,0,0,0,0
Eurycea_wilderae,1,0,0,0,0,0
Gyrinophilus_palleucus,1,0,0,0,0,0
Gyrinophilus_porphyriticus,1,0,0,0,0,0
Hemidactylium_scutatum,1,0,0,0,0,0
Hydromantes_brunus,0,1,0,0,0,0
Hydromantes_flavus,0,0,0,1,0,0
Hydromantes_genei,0,0,0,1,0,0
Hydromantes_imperialis,0,0,0,1,0,0
Hydromantes_italicus,0,0,0,1,0,0
Hydromantes_platycephalus,0,1,0,0,0,0
Hydromantes_shastae,0,1,0,0,0,0
Hydromantes_supramontis,0,0,0,1,0,0
Hynobius_boulengeri,0,0,0,0,0,1
Hynobius_leechi,0,0,0,0,0,1
Hynobius_lichenatus,0,0,0,0,0,1
Hynobius_naevius,0,0,0,0,0,1
Hynobius_nigrescens,0,0,0,0,1,0
Karsenia_koreana,0,0,0,0,0,1
Liua_wushanensis,0,0,0,0,0,1
Mertensiella_caucasica,0,0,0,0,1,0
Necturus_beyeri,1,0,0,0,0,0
Necturus_maculosus,1,0,0,0,0,0
Necturus_punctatus,1,0,0,0,0,0
Neurergus_crocatus,0,0,0,0,1,0
Neurergus_kaiseri,0,0,0,0,1,0
Notophthalmus_meridionalis,0,0,1,0,0,0
Notophthalmus_perstriatus,1,0,0,0,0,0
Notophthalmus_viridescens,1,0,0,0,0,0
Nototriton_picadoi,0,0,1,0,0,0
Nototriton_richardi,0,0,1,0,0,0
Oedipina_complex,0,0,1,0,0,0
Oedipina_gracilis,0,0,1,0,0,0
Oedipina_parvipes,0,0,1,0,0,0
Oedipina_poelzi,0,0,1,0,0,0
Oedipina_pseudouniformis,0,0,1,0,0,0
Oedipina_uniformis,0,0,1,0,0,0
Onychodactylus_japonicus,0,0,0,0,0,1
Pachytriton_brevipes,0,0,0,0,0,1
Pachytriton_labiatus,0,0,0,0,0,1
Paramesotriton_chinensis,0,0,0,0,0,1
Paramesotriton_guangxiensis,0,0,0,0,0,1
Paramesotriton_hongkongensis,0,0,0,0,0,1
Parvimolge_townsendi,0,0,1,0,0,0
Phaeognathus_hubrichti,1,0,0,0,0,0
Plethodon_asupak,0,1,0,0,0,0
Plethodon_cinereus,1,0,0,0,0,0
Plethodon_dorsalis,1,0,0,0,0,0
Plethodon_dunni,0,1,0,0,0,0
Plethodon_elongatus,0,1,0,0,0,0
Plethodon_glutinosus,1,0,0,0,0,0
Plethodon_jordani,1,0,0,0,0,0
Plethodon_larselli,0,1,0,0,0,0
Plethodon_neomexicanus,1,0,0,0,0,0
Plethodon_nettingi,1,0,0,0,0,0
Plethodon_ouachitae,1,0,0,0,0,0
Plethodon_petraeus,1,0,0,0,0,0
Plethodon_richmondi,1,0,0,0,0,0
Plethodon_serratus,1,0,0,0,0,0
Plethodon_stormi,0,1,0,0,0,0
Plethodon_teyahalee,1,0,0,0,0,0
Plethodon_vandykei,0,1,0,0,0,0
Plethodon_vehiculum,0,1,0,0,0,0
Plethodon_wehrlei,1,0,0,0,0,0
Plethodon_welleri,1,0,0,0,0,0
Plethodon_yonahlossee,1,0,0,0,0,0
Pleurodeles_waltl,0,0,0,1,0,0
Proteus_anguineus,1,0,0,0,0,0
Pseudobranchus_striatus,1,0,0,0,0,0
Pseudoeurycea_altamontana,0,0,1,0,0,0
Pseudoeurycea_bellii,0,0,1,0,0,0
Pseudoeurycea_brunnata,0,0,1,0,0,0
Pseudoeurycea_cephalica,0,0,1,0,0,0
Pseudoeurycea_cochranae,0,0,1,0,0,0
Pseudoeurycea_exspectata,0,0,1,0,0,0
Pseudoeurycea_gadovii,0,0,1,0,0,0
Pseudoeurycea_galeanae,0,0,1,0,0,0
Pseudoeurycea_goebeli,0,0,1,0,0,0
Pseudoeurycea_juarezi,0,0,1,0,0,0
Pseudoeurycea_leprosa,0,0,1,0,0,0
Pseudoeurycea_lineolus,0,0,1,0,0,0
Pseudoeurycea_longicauda,0,0,1,0,0,0
Pseudoeurycea_rex,0,0,1,0,0,0
Pseudoeurycea_robertsi,0,0,1,0,0,0
Pseudoeurycea_scandens,0,0,1,0,0,0
Pseudoeurycea_smithi,0,0,1,0,0,0
Pseudoeurycea_tenchalli,0,0,1,0,0,0
Pseudoeurycea_unguidentis,0,0,1,0,0,0
Pseudoeurycea_werleri,0,0,1,0,0,0
Pseudotriton_montanus,1,0,0,0,0,0
Pseudotriton_ruber,1,0,0,0,0,0
Ranodon_sibiricus,0,0,0,0,1,0
Rhyacotriton_olympicus,0,1,0,0,0,0
Salamandra_atra,0,0,0,1,0,0
Salamandra_salamandra,0,0,0,1,0,0
Salamandrella_keyserlingii,0,0,0,0,1,1
Salamandrina_terdigitata,0,0,0,1,0,0
Siren_lacertina,1,0,0,0,0,0
Stereochilus_marginatus,1,0,0,0,0,0
Taricha_granulosa,0,1,0,0,0,0
Taricha_rivularis,0,1,0,0,0,0
Taricha_torosa,0,1,0,0,0,0
Thorius_macdougalli,0,0,1,0,0,0
Thorius_troglodytes,0,0,1,0,0,0
Triturus_carnifex,0,0,0,1,0,0
Triturus_cristatus,0,0,0,1,0,0
Triturus_marmoratus,0,0,0,1,0,0
Tylototriton_shanjing,0,0,0,0,0,1