Bin,Bin name,Base_Ma,Midpoint_Ma,SampledSp,2Tsp,3Tsp,3T_lambda,BC_lambda,3T_mu,BC_mu,Good_u,Gap_rich,3T_samp,3T_rich,collections,occurrences,mean_rich,median_rich
75,Pleistocene,2.6,1.3,4,1,NA,NA,NA,NA,NA,0.4,NA,NA,NA,3,5,1.7,2
74,Pliocene,5.3,4,4,1,,NA,NA,NA,NA,0.667,12,NA,NA,3,6,2,2
73,Upper Miocene,11.6,8.5,10,2,1,0.693,NA,1.386,NA,0.308,40,0.5,20,6,13,2.2,1.5
72,Middle Miocene,16,13.8,10,4,2,0.693,NA,1.386,NA,0.818,13.3,1,10,8,22,2.8,3
71,Lower Miocene,23,19.5,6,3,2,1.386,NA,1.099,NA,0.75,12,0.5,12,6,12,2,1.5
70,Chattian,28.4,25.7,8,,,NA,NA,NA,NA,0.4,12,NA,NA,4,10,2.5,2
69,Rupelian,33.9,31.1,2,1,,NA,NA,NA,NA,0,6,NA,NA,2,2,1,1
68,Priabonian,37.2,35.5,1,,,NA,NA,NA,NA,1,NA,NA,NA,3,3,1,1
67,Bartonian,40.4,38.8,1,,,NA,NA,NA,NA,0,NA,NA,NA,1,1,1,1
66,Lutetian,48.6,44.5,3,,,NA,NA,NA,NA,0,6,NA,NA,2,3,1.5,1.5
65,Ypresian,55.8,52.2,1,,,NA,NA,NA,NA,0,NA,NA,NA,1,1,1,1
64,Thanetian,61.7,58.8,3,NA,NA,NA,NA,NA,NA,0.6,NA,NA,NA,3,5,1.7,1
57,Cenomanian,99.7,97,3,NA,NA,NA,NA,NA,NA,0.5,NA,NA,NA,3,4,1.3,1
54,Barremian,130,127.7,3,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,2,3,1.5,1.5
51,Berriasian,145.5,142.8,2,NA,NA,NA,NA,NA,NA,0.667,NA,NA,NA,3,3,1,1
46,Bathonian,167.7,166.2,4,NA,NA,NA,NA,NA,NA,0.778,NA,NA,NA,7,9,1.3,1