Bin,Bin name,Base_Ma,Midpoint_Ma,SampledSp,2Tsp,3Tsp,3T_lambda,BC_lambda,3T_mu,BC_mu,Good_u,Gap_samp,3T_samp,3T_rich,collections,occurrences,mean_rich,median_rich
75,Pleistocene,2.6,1.3,14,2,NA,NA,NA,NA,NA,0.978,NA,NA,NA,85,134,1.6,1
74,Pliocene,5.3,4,4,3,1,1.099,NA,1.504,NA,0.4,0.222,0.2,20,4,5,1.2,1
73,Upper Miocene,11.6,8.5,13,8,3,0.405,NA,1.386,NA,0.444,0.6,0.75,17.3,8,18,2.2,2
72,Middle Miocene,16,13.8,12,8,5,0.875,NA,0.875,NA,0.938,0.727,1,12,24,48,2,1
71,Lower Miocene,23,19.5,8,3,3,1.386,NA,0.405,NA,0.909,0.5,0.75,10.7,16,22,1.4,1
70,Chattian,28.4,25.7,6,1,,NA,NA,NA,NA,0.636,0.286,NA,NA,5,11,2.2,1
69,Rupelian,33.9,31.1,3,1,,NA,NA,NA,NA,0,0.286,NA,NA,3,3,1,1
68,Priabonian,37.2,35.5,2,,,NA,NA,NA,NA,0.75,NA,NA,NA,4,4,1,1
67,Bartonian,40.4,38.8,1,1,,NA,NA,NA,NA,0,0.167,NA,NA,1,1,1,1
66,Lutetian,48.6,44.5,3,,,NA,NA,NA,NA,0,0.167,NA,NA,2,3,1.5,1.5
65,Ypresian,55.8,52.2,5,1,,NA,NA,NA,NA,0.333,NA,NA,NA,5,6,1.2,1
64,Thanetian,61.7,58.8,13,3,,NA,NA,NA,NA,0.71,1,NA,NA,20,31,1.6,1
63,Danian,66,63.9,5,5,3,0.405,NA,0.916,NA,0.95,0.75,0.75,6.7,7,20,2.9,4
62,Maastrichtian,70.6,68.3,9,5,5,0.405,NA,0.405,NA,0.989,1,1,9,96,189,2,1
61,Campanian,84.9,77.8,7,,,NA,NA,NA,NA,0.992,NA,NA,NA,69,130,1.9,2
60,Santonian,85.8,85.3,1,1,,NA,NA,NA,NA,1,NA,NA,NA,1,2,2,2
59,Coniacian,89.3,87.5,2,2,1,0.405,NA,1.099,NA,0.667,1,1,2,2,3,1.5,1.5
58,Turonian,94.3,91.8,2,,,NA,NA,NA,NA,0,NA,NA,NA,2,2,1,1
57,Cenomanian,99.7,97,2,1,,NA,NA,NA,NA,0.8,NA,NA,NA,4,5,1.2,1
56,Albian,112.6,106.2,2,1,,NA,NA,NA,NA,0.833,NA,NA,NA,6,6,1,1
55,Aptian,125.5,119,2,,,NA,NA,NA,NA,0,NA,NA,NA,2,2,1,1
54,Barremian,130,127.7,3,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,2,3,1.5,1.5
53,Hauterivian,136.4,133.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,0
52,Valanginian,140.2,138.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,0
51,Berriasian,145.5,142.8,1,,NA,NA,NA,NA,NA,1,NA,NA,NA,3,3,1,1
50,Portlandian,150.8,148.2,2,,,NA,NA,NA,NA,0,NA,NA,NA,1,2,2,2
49,Kimmeridgian,155.7,153.2,2,1,,NA,NA,NA,NA,0,NA,NA,NA,2,2,1,1
48,Oxfordian,161.2,158.4,2,1,1,0.405,NA,0.405,NA,0,0.5,1,2,1,2,2,2
47,Callovian,164.7,162.9,3,,,NA,NA,NA,NA,0,NA,NA,NA,1,3,3,3
46,Bathonian,167.7,166.2,3,NA,NA,NA,NA,NA,NA,0.909,NA,NA,NA,9,11,1.2,1